name:xgb2	score:0.41688909104126604	score0:0.40657783704788963	score1:0.3992526447024581	score2:0.49702270572896495	score3:0.3647031766857516
name:xgb2	score:0.42529410330832046	score0:0.3947246130973502	score1:0.3890771052628889	score2:0.5099604423136989	score3:0.407414252559344
name:xgb2	score:0.4169236347728208	score0:0.40657783704788963	score1:0.399390819628677	score2:0.49702270572896495	score3:0.3647031766857516
name:xgb2	score:0.4169236347728208	score0:0.40657783704788963	score1:0.399390819628677	score2:0.49702270572896495	score3:0.3647031766857516
name:xgb2	score:0.4169236347728208	score0:0.40657783704788963	score1:0.399390819628677	score2:0.49702270572896495	score3:0.3647031766857516
name:xgb2	score:0.4169236347728208	score0:0.40657783704788963	score1:0.399390819628677	score2:0.49702270572896495	score3:0.3647031766857516
name:xgb2	score:0.4169236347728208	score0:0.40657783704788963	score1:0.399390819628677	score2:0.49702270572896495	score3:0.3647031766857516
name:xgb2	score:0.4169236347728208	score0:0.40657783704788963	score1:0.399390819628677	score2:0.49702270572896495	score3:0.3647031766857516
name:xgb2	score:0.4169236347728208	score0:0.40657783704788963	score1:0.399390819628677	score2:0.49702270572896495	score3:0.3647031766857516
name:xgb2	score:0.4169236347728208	score0:0.40657783704788963	score1:0.399390819628677	score2:0.49702270572896495	score3:0.3647031766857516
name:xgb2	score:0.4169236347728208	score0:0.40657783704788963	score1:0.399390819628677	score2:0.49702270572896495	score3:0.3647031766857516
name:xgb2	score:0.4169236347728208	score0:0.40657783704788963	score1:0.399390819628677	score2:0.49702270572896495	score3:0.3647031766857516
name:xgb2	score:0.4169236347728208	score0:0.40657783704788963	score1:0.399390819628677	score2:0.49702270572896495	score3:0.3647031766857516
name:xgb2	score:0.4169236347728208	score0:0.40657783704788963	score1:0.399390819628677	score2:0.49702270572896495	score3:0.3647031766857516
name:xgb2	score:nan	score0:nan	score1:nan	score2:nan	score3:nan
name:xgb2	score:6.201272182058314	score0:5.111151647573652	score1:5.885581602558872	score2:8.518571736734618	score3:5.289783741366111
name:xgb2	score:6.201272182058314	score0:5.111151647573652	score1:5.885581602558872	score2:8.518571736734618	score3:5.289783741366111
name:xgb2	score:6.201272182058314	score0:5.111151647573652	score1:5.885581602558872	score2:8.518571736734618	score3:5.289783741366111
name:xgb2	score:0.4169236347728208	score0:0.40657783704788963	score1:0.399390819628677	score2:0.49702270572896495	score3:0.3647031766857516
